old iri,new iri
http://www.ontologyrepository.com/CommonCoreOntologies/GMTminus9,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000152
http://www.ontologyrepository.com/CommonCoreOntologies/LimaTimeZone,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000153
http://www.ontologyrepository.com/CommonCoreOntologies/XRayTimeZone,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000154
http://www.ontologyrepository.com/CommonCoreOntologies/UnixTime,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000155
http://www.ontologyrepository.com/CommonCoreOntologies/UniversalTime1F,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000156
http://www.ontologyrepository.com/CommonCoreOntologies/GMTplus0330,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000157
http://www.ontologyrepository.com/CommonCoreOntologies/TwentyFourHourClockTimeSystem,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000158
http://www.ontologyrepository.com/CommonCoreOntologies/UniversalTime1,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000159
http://www.ontologyrepository.com/CommonCoreOntologies/WorldGeographicReferenceSystem,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000160
http://www.ontologyrepository.com/CommonCoreOntologies/NovemberTimeZone,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000161
http://www.ontologyrepository.com/CommonCoreOntologies/UniversalTime0,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000162
http://www.ontologyrepository.com/CommonCoreOntologies/GMTminus8,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000163
http://www.ontologyrepository.com/CommonCoreOntologies/SierraTimeZone,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000164
http://www.ontologyrepository.com/CommonCoreOntologies/CharlieTimeZone,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000165
http://www.ontologyrepository.com/CommonCoreOntologies/GMTplus11,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000166
