old-iri,new-iri
http://www.ontologyrepository.com/CommonCoreOntologies/Certificate,https://www.commoncoreontologies.org/ont00000189
http://www.ontologyrepository.com/CommonCoreOntologies/MinimumSpeedArtifactFunction,https://www.commoncoreontologies.org/ont00000190
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfHomicide,https://www.commoncoreontologies.org/ont00000191
http://www.ontologyrepository.com/CommonCoreOntologies/Facility,https://www.commoncoreontologies.org/ont00000192
http://www.ontologyrepository.com/CommonCoreOntologies/TelephoneSubscriberLine,https://www.commoncoreontologies.org/ont00000193
http://www.ontologyrepository.com/CommonCoreOntologies/ElectricalContactArtifactFunction,https://www.commoncoreontologies.org/ont00000194
http://www.ontologyrepository.com/CommonCoreOntologies/Heliport,https://www.commoncoreontologies.org/ont00000195
http://www.ontologyrepository.com/CommonCoreOntologies/Purple,https://www.commoncoreontologies.org/ont00000196
http://www.ontologyrepository.com/CommonCoreOntologies/ProcessBeginning,https://www.commoncoreontologies.org/ont00000197
http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfSoundLevel,https://www.commoncoreontologies.org/ont00000198
http://www.ontologyrepository.com/CommonCoreOntologies/Camera,https://www.commoncoreontologies.org/ont00000199
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfPilgrimage,https://www.commoncoreontologies.org/ont00000200
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfChangeOfResidence,https://www.commoncoreontologies.org/ont00000201
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfTerroristTrainingInstruction,https://www.commoncoreontologies.org/ont00000202
http://www.ontologyrepository.com/CommonCoreOntologies/EventStatusNominalInformationContentEntity,https://www.commoncoreontologies.org/ont00000203
http://www.ontologyrepository.com/CommonCoreOntologies/Rifle,https://www.commoncoreontologies.org/ont00000204
http://www.ontologyrepository.com/CommonCoreOntologies/ObjectTrack,https://www.commoncoreontologies.org/ont00000205
http://www.ontologyrepository.com/CommonCoreOntologies/FrictionReductionArtifactFunction,https://www.commoncoreontologies.org/ont00000206
http://www.ontologyrepository.com/CommonCoreOntologies/GeospatialBoundary,https://www.commoncoreontologies.org/ont00000207
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfCongratulating,https://www.commoncoreontologies.org/ont00000208
http://www.ontologyrepository.com/CommonCoreOntologies/SoundWavelength,https://www.commoncoreontologies.org/ont00000209
http://www.ontologyrepository.com/CommonCoreOntologies/Engine,https://www.commoncoreontologies.org/ont00000210
http://www.ontologyrepository.com/CommonCoreOntologies/MultiDayTemporalInterval,https://www.commoncoreontologies.org/ont00000211
http://www.ontologyrepository.com/CommonCoreOntologies/ChemicalWeapon,https://www.commoncoreontologies.org/ont00000212
http://www.ontologyrepository.com/CommonCoreOntologies/Subcontinent,https://www.commoncoreontologies.org/ont00000213
http://www.ontologyrepository.com/CommonCoreOntologies/MovingTargetIndicationArtifactFunction,https://www.commoncoreontologies.org/ont00000214
http://www.ontologyrepository.com/CommonCoreOntologies/RadioTelescope,https://www.commoncoreontologies.org/ont00000215
